ProductType,Manufacturer,Model,Hide S/N in eBay?,Know how to reset?, Price ,Time ( Mins ), Output / Hour ,Note,Less that £100/hr,Scrap,£100 - £150,Mid Tier,£150 + Upper Tier
Server,Dell,PowerEdge R630,,Extremely, £ 100.00 ,20.0, £ 300.00 ,,,,,,
Server,Dell,PowerEdge R730,,Extremely,,20.0, £ -   ,,,,,,
Server,Dell,PowerEdge R730XD,,Extremely,,20.0, £ -   ,,,,,,
Server,Dell,PowerEdge R750,,Extremely,,20.0, £ -   ,,,,,,
Server,Dell,PowerEdge T130,,Extremely,,20.0, £ -   ,,,,,,
Server,Dell,PowerEdge T330,,Extremely,,20.0, £ -   ,,,,,,
Server,Dell,PowerEdge T430,,Extremely, £ 120.00 ,20.0, £ 360.00 ,,,,,,
Server,Dell,PowerEdge T430,,Extremely, £ 114.00 ,,  ,,,,,,
Server,Dell,PowerEdge T630,,Extremely,,20.0, £ -   ,,,,,,
Server,Dell,PowerEdge VRTX,,Extremely, £ 500.00 ,120.0, £ 250.00 ,,,,,,
Server,Dell,PowerEdge M630,,Extremely,,30.0,,,,,,,
Server,Dell,PowerEdge M630 (VRTX),,Extremely,,30.0,,,,,,,
Server,Dell,PowerEdge M640,,Extremely,,30.0,,,,,,,
Server,Dell,PowerEdge M1000e,,Extremely,,120.0,,,,,,,
Server,Dell,PowerEdge C6320,,Extremely,,,,,,,,,
Server,Dell,PowerEdge C6300 Enclosure ,,Extremely,,,,,,,,,
Server,HP,ProLiant BL460c Gen9 Server Blade,,Extremely,,30.0,,,,,,,
Server,HP,ProLiant BL460c Gen8 Server Blade,,Extremely, £ 70.00 ,30.0, £ 140.00 ,,,,,,
Server,HP,BladeSystem c7000 Enclosure G3,,Extremely,,120.0,,,,,,,
Server,HP,ProLiant DL20 Gen 10,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant DL20 Gen 9,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant DL120 Gen 9,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant DL160 Gen 9,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant DL360 Gen 10,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant DL360 Gen 9,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant DL380 Gen9,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant DL380 Gen10,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant DL380e Gen 8,,Extremely,,,  ,,,,,,
Server,HP,ProLiant DL560 Gen 9,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant ML150 Gen 9,,Extremely,,20.0, £ -   ,,,,,,
Server,HP,ProLiant ML350 Gen 9,,Extremely, £ 130.00 ,20.0, £ 390.00 ,,,,,,
Server,IBM,Power System S822,,Extremely,,30.0, £ -   ,,,,,,
Server,IBM,System x3650 M3,,Extremely, £ 165.00 ,,  ,,,,,,
Server,Lenovo,System x 3550 M5,,Extremely,,20.0, £ -   ,,,,,,
Server,Lenovo,ThinkSystem SR630,,Extremely,,20.0, £ -   ,,,,,,
Server,McAfee,ELM-5600,,Not at all,,,  ,,,,,,
Server,McAfee,ERC-3450,,Not at all,,,  ,,,,,,
Server,Nutanix,NXS2U2NL12G600,,Extremely," £ 1,440.00 ",30.0," £ 2,880.00 ",,,,,,
Server,Nutanix,NXS2U4NS24G600,,Extremely, £ 720.00 ,30.0," £ 1,440.00 ",,,,,,
Server,Oracle,SunFire X4100,,Not at all, £ 300.00 ,,  ,,,,,,
Server,Oracle,SunFire X4170,,Not at all, £ 175.00 ,,  ,,,,,,
Server,Quanta,D51B-2U,,Extremely,,20.0, £ -   ,,,,,,
Server,Quanta,D51PC-1U,,Extremely,,20.0, £ -   ,,,,,,
Server,Quanta,T41S-2U,,Moderately, £ 214.00 ,30.0, £ 428.00 ,,,,,,
Server,SUPERMICRO,CSE-825,,Moderately, £ 120.00 ,,  ,,,,,,
Server,SUPERMICRO,CSE-826,,Moderately, £ 250.00 ,,  ,,,,,,
Server,SUPERMICRO,CSE-836,,Moderately, £ 240.00 ,,  ,,,,,,
Switch,Adva,FSP 150-GE102Pro,,Not at all, £ 140.00 ,,  ,,,,,,
Switch,Allied Telesis,AT-8000GS/24,,Extremely,,5.0, £ -   ,,,,,,
Switch,Allied Telesis,AT-8000S/48,,Extremely,,5.0, £ -   ,,,,,,
Switch,Allied Telesis,AT-8000GS/48,,Extremely,,5.0, £ -   ,,,,,,
Switch,Allied Telesis,AT-GS950/48,,Extremely,,5.0, £ -   ,,,,,,
Switch,Allied Telesis,AT-FS750/24POE,,Extremely,,5.0, £ -   ,,,,,,
Switch,APC,AP7723 Rack Automatic Transfer Switch,,Not at all, £ 69.00 ,,  ,,,,,,
Switch,Aruba,J9726A,,Extremely,,10.0, £ -   ,,,,,,
Switch,Aruba,J9773A,,Extremely,,10.0, £ -   ,,,,,,
Switch,Aruba,J9776A,,, Scrap ,,,,,,,,
Switch,Aruba,JL683A,,Extremely, £ 180.00 ,15.0, £ 720.00 ,,,,,,
Switch,Aruba,R8N87A,,Extremely,,10.0, £ -   ,,,,,,
Switch,Aten,CL5716 LCD KVM Switch,,Not at all, £ 160.00 ,,  ,,,,,,
Switch,Aten,CS1942DP KVM Switch,,Extremely, £ 180.00 ,,  ,,,,,,
Switch,Aten,KL1516a KVM Switch,,Not at all, £ 144.00 ,,  ,,,,,,
Switch,Avaya,AL3500A14-E6,,Extremely,,10.0, £ -   ,,,,,,
Switch,Belkin,F1DC108BUKSR KVM Swtich,,Not at all, £ 33.00 ,,  ,,,,,,
Switch,Brocade,VDX 6740T-1G,,Moderately, £ 60.00 ,20.0, £ 180.00 ,,,,,,
Switch,Cisco,2960-X-48FPS-L V04,,Extremely, £ 22.00 ,10.0, £ 132.00 ,,,,,,
Switch,Cisco,2960-X-48FPS-L V05,,Extremely, £ 75.00 ,15.0, £ 300.00 ,,,,,,
Switch,Cisco,3750X-24P-S,,Moderately, £ 20.00 ,10.0, £ 120.00 ,,,,,,
Switch,Cisco,3750X-48P,,Moderately, £ 80.00 ,,  ,,,,,,
Switch,Cisco,C3900-SPE150/K9 V05,,Extremely,,20.0, £ -   ,,,,,,
Switch,Cisco,C9200L-24T-4G-E,,Extremely,,20.0, £ -   ,,,,,,
Switch,Cisco,C9500-48Y4C-A V03,,Extremely,,20.0, £ -   ,,,,,,
Switch,Cisco,Catalyst 2960-X-24TS-L V05,,Extremely, £ 110.00 ,15.0, £ 440.00 ,,,,,,
Switch,Cisco,DS-C9148-16P-K9,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,Express 500-24PC,,Moderately, £ 50.00 ,,  ,,,,,,
Switch,Cisco,Meraki MS220-8P,,Extremely, £ 14.00 ,5.0, £ 168.00 ,,,,,,
Switch,Cisco,Meraki MS320-48FP-HW,,Extremely,,20.0,,,,,,,
Switch,Cisco,Meraki MS320-24P-HW,,Extremely,,20.0,,,,,,,
Switch,Cisco,Meraki MS225-24P,,Extremely,,20.0,,,,,,,
Switch,Cisco,Nexus 5596 UP,,Moderately,,25.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,SF300-48PP-K9,,Extremely,,8.0, £ -   ,,,,,,
Switch,Cisco,SF302-08P,,Moderately, £ 28.00 ,,,,,,,,
Switch,Cisco,SF302-08PP,,Moderately, £ 38.00 ,8.0, £ 285.00 ,,,,,,
Switch,Cisco,SG300-10MPP,,Moderately, £ 65.00 ,,  ,,,,,,
Switch,Cisco,SG300-10PP,,Moderately, £ 118.00 ,8.0, £ 885.00 ,,,,,,
Switch,Cisco,SG350-10P,,Moderately, £ 44.00 ,,  ,,,,,,
Switch,Cisco,SG350-28,,Extremely, £ 200.00 ,,  ,,,,,,
Switch,Cisco,SG350X-48P,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,SRW208P-K9 V01,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,WS-C2960-48TC-S V04,,, Scrap ,15.0,  ,,,,,,
Switch,Cisco,WS-C2960-48TT-L V07,,, Scrap ,15.0,  ,,,,,,
Switch,Cisco,WS-C2960S-24TS-L,,, Scrap ,15.0,  ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C2960G-24TC-L,,, Scrap ,,,,,,,,
Switch,Cisco,WS-C2960X-24PS-L V02,,, Scrap ,30.0,  ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C2960X-48LPS-L V05,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,WS-C2960X-48TS-L,,, Scrap ,,,,,,,,
Switch,Cisco,WS-C3560-8PC-S,,Extremely,,11.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3560C-12PC-S,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,WS-C3560V2-48PS-S V06,,, Scrap ,,,,,,,,
Switch,Cisco,WS-C3560X-24T-L,,Extremely,,16.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3560X-24T-S ,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,WS-C3560X-24T-E,,Extremely,,18.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3560X-48T-E,,Extremely,,18.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3560X-48P-L,,Extremely,,23.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3650-24PS,,Extremely,,25.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3650-24TS,,Extremely,,40.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3650-48PD,,Moderately, £ 175.00 ,,  ,,,,,,
Switch,Cisco,WS-C3750-24TS-S,,, Scrap ,,,,,,,,
Switch,Cisco,WS-C3750-48PS-S,,Extremely,,16.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3750V2-48PS-S,,Extremely,,20.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3750X-24T-S V02,,Extremely,,15.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3750X-48PF-L V02,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,WS-C3750X-48T-S V02,,Extremely, £ 200.00 ,15.0, £ 800.00 ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3850-24XS,,Extremely,,35.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3850-48P,,Extremely,,35.0, £ -   ,Nemesis Erasure,,,,,
Switch,Cisco,WS-C3850-48T-S,,Moderately,,15.0, £ -   ,,,,,,
Switch,Cisco,WS-C4500X-16SFP+ V05,,Not at all, £ 55.00 ,15.0, £ 220.00 ,,,,,,
Switch,Cisco,WS-C4503-E V01,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,WS-C4948-E V08,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,WS-C4948-S V05,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,WS-C6509-E,,Extremely,,15.0, £ -   ,,,,,,
Switch,Cisco,C9500-48Y4C-A V03,,Extremely,,20.0, £ -   ,,,,,,
Switch,Cisco,N2K-C2232PP-10GE,,Extremely,,10.0, £ -   ,,,,,,
Switch,Cisco,N2K-C2248TP-1GE,,Extremely,,10.0, £ -   ,,,,,,
Switch,Dell,N1108T-ON,,Extremely,,20.0, £ -   ,,,,,,
Switch,Dell,N1108P-ON,,Extremely,,20.0, £ -   ,,,,,,
Switch,Dell,N1548P,,Extremely,,20.0, £ -   ,,,,,,
Switch,Dell,N3024,,Extremely, £ 40.00 ,,  ,,,,,,
Switch,Dell,N4032F,,Extremely,,20.0, £ -   ,,,,,,
Switch,Dell,PowerConnect 2848,,Extremely,,10.0, £ -   ,,,,,,
Switch,Dell,X1026,,Extremely,,10.0, £ -   ,,,,,,
Switch,D-Link,DGS-1224T,,, Scrap ,,,,,,,,
Switch,EMC,DS-300B,,Extremely,,20.0, £ -   ,,,,,,
Switch,EMC,DS-6520B,,Extremely,,25.0, £ -   ,,,,,,
Switch,HP,J9020A,,, Scrap ,,,,,,,,
Switch,HP,J9085A,,, Scrap ,,,,,,,,
Switch,HP,J4900B,,, Scrap ,,,,,,,,
Switch,HP,J4900C,,, Scrap ,,,,,,,,
Switch,HP,J9020A,,, Scrap ,,,,,,,,
Switch,HP,J9022A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,J9028B,,, Scrap ,,,,,,,,
Switch,HP,J9080A,,, Scrap ,,,,,,,,
Switch,HP,J9138A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,J9280A,,, Scrap ,,,,,,,,
Switch,HP,J9298A,,Extremely, £ 300.00 ,,  ,,,,,,
Switch,HP,J9561A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,J9625A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,J9627A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,J9660A,,, Scrap ,,  ,,,,,,
Switch,HP,J9726A,,, Scrap ,,  ,,,,,,
Switch,HP,J9729A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,J9772A,,, Scrap ,,,,,,,,
Switch,HP,J9774A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,J9776A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,J9980A,,, Scrap ,,,,,,,,
Switch,HP,J9981A,,Extremely, Scrap ,10.0,  ,,,,,,
Switch,HP,J9984A,,Extremely, £ 22.00 ,10.0, £ 132.00 ,,,,,,
Switch,HP,JE009A,,Extremely, Scrap ,,  ,,,,,,
Switch,HP,JG925A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,J8762A,,, Scrap ,,,,,,,,
Switch,HP,JL382A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,JL384A,,Extremely, £ 300.00 ,15.0," £ 1,200.00 ",,,,,,
Switch,HP,JL385A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,JL386A,,Extremely, £ 22.00 ,,,,,,,,
Switch,HP,QW937A,,Extremely,,10.0, £ -   ,,,,,,
Switch,HP,SF 100-24,,Extremely, £ 45.00 ,,  ,,,,,,
Switch,Huawei,S2720-52TP-PWR-EI,,Extremely,,10.0, £ -   ,,,,,,
Switch,IBM,SAN06B-R 8Gbps Fiber Channel SAN Extension Switch,,Moderately,,25.0, £ -   ,,,,,,
Switch,INTELLINET,560856,,Extremely,,10.0, £ -   ,,,,,,
Switch,Juniper,EX3300-48P,,Moderately,,20.0, £ -   ,,,,,,
Switch,Juniper,EX4300-24T,,Moderately,,20.0, £ -   ,,,,,,
Switch,Juniper,EX4300-32F,,Moderately,,20.0, £ -   ,,,,,,
Switch,Juniper,QFX5100-48S-6Q,,Moderately,,20.0, £ -   ,,,,,,
Switch,Linksys,SRW2024,,, Scrap ,,,,,,,,
Switch,Mellanox,IS5030,,Extremely,,20.0, £ -   ,,,,,,
Switch,Netgear,FS108Pv3,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,FS750T,,, Scrap ,,,,,,,,
Switch,Netgear,GS108T,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,GS110TP,,Moderately, £ 25.00 ,10.0, £ 150.00 ,,,,,,
Switch,Netgear,GS116,,Extremely, £ 110.00 ,15.0, £ 440.00 ,,,,,,
Switch,Netgear,GS116LP,,Moderately, £ 30.00 ,,  ,,,,,,
Switch,Netgear,GS728TP,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,JGS516 v2,,Extremely,,5.0, £ -   ,,,,,,
Switch,Netgear,JGS516PE,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,JG524,,, Scrap ,,,,,,,,
Switch,Netgear,JG524-200EUS,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,ProSafe FS108P,,Extremely, £ 25.00 ,10.0, £ 150.00 ,,,,,,
Switch,Netgear,ProSafe FS726T,,, Scrap ,,,,,,,,
Switch,Netgear,ProSafe GS724T,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,ProSafe GS724TS,,, Scrap ,,  ,,,,,,
Switch,Netgear,ProSafe GS728TP,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,ProSafe GS748T,,Extremely, £ 120.00 ,10.0, £ 720.00 ,,,,,,
Switch,Netgear,ProSafe GS752TS,,, Scrap ,,,,,,,,
Switch,NetApp,ProSafe GS752TP,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,ProSafe GS752TPS,,Extremely, £ 20.00 ,10.0, £ 120.00 ,,,,,,
Switch,Netgear,ProSafe GSM7224v2,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,ProSafe GSM7248v2,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,ProSafe JGS524PE,,Extremely, £ 240.00 ,10.0," £ 1,440.00 ",,,,,,
Switch,Netgear,ProSafe M4100-D10-POE,,Extremely, £ 100.00 ,,  ,,,,,,
Switch,Netgear,ProSafe M4100-26G,,Extremely,,10.0, £ -   ,,,,,,
Switch,Netgear,ProSafe XS712T,,Extremely,,10.0, £ -   ,,,,,,
Switch,tp-link,TL-SG1005P,,Extremely, £ 50.00 ,,  ,,,,,,
Switch,tp-link,TL-SG1016,,, Scrap ,,,,,,,,
Switch,tp-link,TL-SG1024D,,Extremely,,10.0, £ -   ,,,,,,
Switch,tp-link,TL-SG1048,,Extremely,,3.0, £ -   ,,,,,,
Switch,Ubiquiti,ES-10X,,Extremely,,10.0, £ -   ,,,,,,
Switch,Ubiquiti,ES-48-500W,,Extremely,,10.0, £ -   ,,,,,,
Switch,UniFi,US-48-G1,,Extremely,,10.0, £ -   ,,,,,,
Switch,ZyXEL,GS1900-24,,Extremely,,5.0, £ -   ,,,,,,
Switch,ZyXEL,GS3700-24,,Moderately, £ 160.00 ,,  ,,,,,,
Switch,ZyXEL,GS1920-24HP,,Extremely,,10.0, £ -   ,,,,,,
Tape Drive/Autoloaders,HP,LTO 5 Tape Drive,,Extremely,,20.0, £ -   ,,,,,,
Tape Drive/Autoloaders,HP,LTO 6 Tape Drive,,Extremely,,20.0, £ -   ,,,,,,
Tape Drive/Autoloaders,HP,LTO 7 Tape Drive,,Extremely,,20.0, £ -   ,,,,,,
Tape Drive/Autoloaders,HP,LTO 8 Tape Drive,,Extremely,,20.0, £ -   ,,,,,,
Tape Drive/Autoloaders,HP,StorgeWorks MSL2024 G3,,Extremely,,30.0, £ -   ,,,,,,
Tape Drive/Autoloaders,HP,StorgeWorks MSL4048 G3,,Extremely,,30.0, £ -   ,,,,,,
Tape Drive/Autoloaders,IBM,System Storage TS2900,,Moderately,,30.0, £ -   ,,,,,,
Tape Drive/Autoloaders,Quantum,7226 1u3,,Extremely, £ 90.00 ,,  ,,,,,,
Tape Drive/Autoloaders,Quantum,SuperLoader 3 L700 Tape Autoloader,,Extremely,,30.0, £ -   ,,,,,,
Tape Drive/Autoloaders,Quantum,TC-L42BX,,Extremely,,,  ,,,,,,
Tape Drive/Autoloaders,Quantum,TE5452-502 External USB Tape Drive,,Moderately,,,  ,,,,,,
Tape Drive/Autoloaders,Dell,PowerVault TL1000,,Extremely,,30.0, £ -   ,,,,,,
Tape Drive/Autoloaders,Dell,PowerVault TL2000,,Extremely,,30.0, £ -   ,,,,,,
